City,Lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
okhotsk,59.3833,143.3,18.61,94.0,100.0,20.71,RU,1612922157.0
bac lieu,9.285,105.7244,80.87,73.0,84.0,13.0,VN,1612922004.0
bafra,41.5678,35.9069,41.0,87.0,20.0,3.44,TR,1612921876.0
fortuna,40.5982,-124.1573,50.0,93.0,90.0,9.22,US,1612921869.0
ponta do sol,32.6667,-17.1,57.99,70.0,70.0,1.99,PT,1612922158.0
hofn,64.2539,-15.2082,30.74,98.0,100.0,9.37,IS,1612922159.0
bethel,41.3712,-73.414,24.01,93.0,51.0,3.96,US,1612922159.0
ushuaia,-54.8,-68.3,66.2,68.0,0.0,2.3,AR,1612921963.0
saskylakh,71.9167,114.0833,-25.26,82.0,0.0,8.84,RU,1612921958.0
buchanan,5.8808,-10.0467,79.3,87.0,100.0,4.54,LR,1612922159.0
puerto ayora,-0.7393,-90.3518,78.01,91.0,36.0,1.01,EC,1612922023.0
cherskiy,68.75,161.3,-2.25,85.0,0.0,2.66,RU,1612921997.0
cape town,-33.9258,18.4232,68.0,77.0,0.0,14.97,ZA,1612922042.0
lompoc,34.6391,-120.4579,53.6,76.0,90.0,9.22,US,1612922160.0
bowen,-20.0167,148.2333,82.4,65.0,90.0,14.97,AU,1612922160.0
escarcega,18.6089,-90.7454,75.97,75.0,62.0,4.18,MX,1612922160.0
narsaq,60.9167,-46.05,33.8,27.0,14.0,32.21,GL,1612922161.0
waingapu,-9.6567,120.2641,85.14,68.0,64.0,9.19,ID,1612922161.0
rikitea,-23.1203,-134.9692,78.85,70.0,54.0,6.42,PF,1612922161.0
busselton,-33.65,115.3333,64.0,62.0,0.0,5.01,AU,1612922161.0
butaritari,3.0707,172.7902,81.52,83.0,100.0,15.39,KI,1612922161.0
brownsville,25.9018,-97.4975,73.4,88.0,90.0,9.22,US,1612922042.0
hobart,-42.8794,147.3294,70.0,42.0,20.0,4.61,AU,1612921945.0
bredasdorp,-34.5322,20.0403,57.2,88.0,89.0,2.48,ZA,1612922162.0
thompson,55.7435,-97.8558,-29.2,75.0,40.0,3.44,CA,1612921947.0
kapaa,22.0752,-159.319,71.6,53.0,90.0,19.57,US,1612921962.0
shush,32.1942,48.2436,59.83,57.0,100.0,2.37,IR,1612922162.0
dicabisagan,17.0818,122.4157,73.44,91.0,100.0,4.07,PH,1612922162.0
albany,42.6001,-73.9662,21.99,89.0,0.0,6.98,US,1612922124.0
saint-philippe,-21.3585,55.7679,78.8,57.0,0.0,6.91,RE,1612922162.0
new norfolk,-42.7826,147.0587,71.01,42.0,0.0,3.0,AU,1612922163.0
east london,-33.0153,27.9116,69.98,83.0,0.0,2.28,ZA,1612922163.0
ribeira grande,38.5167,-28.7,60.22,85.0,100.0,16.22,PT,1612922144.0
faanui,-16.4833,-151.75,81.93,73.0,0.0,12.91,PF,1612922163.0
vaini,-21.2,-175.2,80.6,89.0,90.0,20.71,TO,1612922163.0
adre,13.4667,22.2,59.74,31.0,43.0,12.53,TD,1612922163.0
baherden,38.4362,57.4316,52.52,53.0,0.0,3.02,TM,1612922050.0
cabedelo,-6.9811,-34.8339,80.6,83.0,0.0,5.75,BR,1612922029.0
lebu,-37.6167,-73.65,60.66,84.0,0.0,12.21,CL,1612922164.0
jambi,-1.6,103.6167,83.44,76.0,54.0,4.54,ID,1612921876.0
norman wells,65.282,-126.8329,-34.6,67.0,20.0,4.61,CA,1612921871.0
dikson,73.5069,80.5464,-29.09,86.0,98.0,9.31,RU,1612922165.0
